id,imdb_score_binned
1,0
2,2
3,0
4,2
5,0
6,0
7,4
8,2
9,1
10,2
11,4
12,0
13,2
14,0
15,2
16,3
17,0
18,0
19,2
20,0
21,3
22,1
23,2
24,4
25,0
26,1
27,3
28,1
29,0
30,0
31,4
32,2
33,0
34,0
35,2
36,3
37,1
38,2
39,1
40,2
41,4
42,0
43,0
44,2
45,1
46,3
47,1
48,1
49,0
50,1
51,4
52,0
53,2
54,1
55,0
56,4
57,2
58,2
59,0
60,1
61,4
62,1
63,0
64,2
65,0
66,0
67,0
68,3
69,2
70,1
71,0
72,2
73,4
74,3
75,2
76,4
77,2
78,0
79,2
80,2
81,1
82,2
83,0
84,1
85,0
86,3
87,1
88,1
89,0
90,0
91,3
92,2
93,0
94,2
95,0
96,2
97,3
98,2
99,2
100,1
101,2
102,0
103,0
104,0
105,2
106,2
107,0
108,0
109,1
110,3
111,0
112,2
113,3
114,0
115,2
116,0
117,1
118,3
119,0
120,0
121,2
122,2
123,1
124,0
125,3
126,3
127,3
128,0
129,2
130,3
131,4
132,4
133,0
134,2
135,0
136,0
137,0
138,2
139,0
140,4
141,2
142,3
143,1
144,1
145,0
146,2
147,1
148,4
149,3
150,4
151,1
152,0
153,0
154,0
155,2
156,2
157,0
158,1
159,2
160,0
161,1
162,2
163,4
164,2
165,2
166,2
167,1
168,3
169,1
170,0
171,2
172,0
173,2
174,2
175,0
176,3
177,1
178,0
179,1
180,1
181,0
182,0
183,2
184,2
185,4
186,2
187,2
188,0
189,2
190,0
191,1
192,0
193,2
194,2
195,1
196,0
197,0
198,1
199,0
200,0
201,2
202,0
203,2
204,1
205,1
206,2
207,0
208,2
209,2
210,2
211,3
212,2
213,4
214,2
215,3
216,1
217,4
218,1
219,1
220,0
221,0
222,1
223,1
224,3
225,2
226,2
227,0
228,0
229,3
230,0
231,2
232,3
233,4
234,0
235,0
236,0
237,4
238,1
239,0
240,3
241,2
242,1
243,4
244,0
245,0
246,0
247,1
248,2
249,0
250,3
251,0
252,2
253,3
254,0
255,1
256,2
257,0
258,0
259,4
260,3
261,1
262,4
263,0
264,2
265,0
266,2
267,4
268,2
269,1
270,0
271,1
272,1
273,2
274,1
275,1
276,3
277,4
278,2
279,2
280,0
281,4
282,0
283,2
284,0
285,4
286,0
287,4
288,0
289,1
290,2
291,2
292,2
293,0
294,0
295,4
296,0
297,1
298,0
299,1
300,0
301,4
302,3
303,0
304,1
305,3
306,1
307,3
308,2
309,1
310,1
311,2
312,0
313,1
314,2
315,2
316,2
317,0
318,0
319,3
320,2
321,0
322,1
323,0
324,0
325,3
326,0
327,0
328,2
329,2
330,2
331,3
332,1
333,2
334,0
335,2
336,2
337,2
338,3
339,4
340,2
341,0
342,2
343,0
344,2
345,1
346,1
347,3
348,2
349,0
350,3
351,0
352,1
353,3
354,3
355,2
356,0
357,0
358,0
359,1
360,1
361,3
362,2
363,4
364,3
365,0
366,0
367,2
368,0
369,3
370,4
371,4
372,3
373,2
374,2
375,0
376,3
377,2
378,3
379,2
380,1
381,1
382,4
383,1
384,3
385,0
386,1
387,2
388,2
389,4
390,2
391,1
392,2
393,4
394,2
395,0
396,4
397,1
398,2
399,0
400,0
401,1
402,2
403,3
404,0
405,0
406,0
407,3
408,3
409,0
410,3
411,0
412,4
413,4
414,2
415,2
416,3
417,1
418,3
419,2
420,0
421,2
422,0
423,2
424,2
425,3
426,1
427,2
428,1
429,0
430,3
431,0
432,0
433,2
434,0
435,1
436,0
437,2
438,2
439,4
440,2
441,4
442,3
443,0
444,2
445,0
446,2
447,2
448,1
449,2
450,0
451,1
452,0
453,1
454,1
455,2
456,2
457,1
458,0
459,2
460,0
461,0
462,1
463,0
464,2
465,1
466,1
467,3
468,3
469,3
470,3
471,4
472,2
473,0
474,0
475,1
476,3
477,0
478,2
479,2
480,2
481,1
482,4
483,0
484,0
485,4
486,0
487,2
488,2
489,1
490,1
491,1
492,1
493,0
494,4
495,1
496,2
497,3
498,3
499,1
500,0
501,1
502,0
503,3
504,1
505,0
506,3
507,0
508,2
509,0
510,3
511,2
512,3
513,4
514,0
515,2
516,2
517,2
518,0
519,2
520,3
521,2
522,0
523,1
524,2
525,2
526,2
527,0
528,1
529,0
530,0
531,3
532,2
533,1
534,2
535,2
536,1
537,3
538,2
539,2
540,0
541,0
542,2
543,3
544,2
545,2
546,4
547,0
548,4
549,2
550,2
551,0
552,3
553,2
554,2
555,0
556,2
557,0
558,0
559,2
560,2
561,3
562,3
563,2
564,2
565,0
566,0
567,2
568,2
569,0
570,2
571,4
572,0
573,3
574,2
575,1
576,0
577,1
578,0
579,3
580,0
581,2
582,1
583,1
584,0
585,1
586,0
587,0
588,2
589,2
590,4
591,0
592,0
593,3
594,3
595,1
596,2
597,0
598,3
599,1
600,1
601,2
602,4
603,2
604,0
605,2
606,2
607,2
608,2
609,2
610,1
611,3
612,1
613,2
614,2
615,1
616,0
617,0
618,0
619,0
620,2
621,0
622,1
623,4
624,4
625,4
626,4
627,1
628,2
629,0
630,2
631,3
632,1
633,3
634,2
635,1
636,2
637,0
638,0
639,3
640,2
641,2
642,0
643,4
644,2
645,2
646,4
647,2
648,0
649,1
650,1
651,0
652,0
653,0
654,2
655,3
656,0
657,1
658,2
659,3
660,2
661,0
662,1
663,0
664,0
665,2
666,3
667,4
668,0
669,4
670,2
671,0
672,0
673,1
674,2
675,1
676,0
677,2
678,2
679,0
680,1
681,4
682,1
683,2
684,2
685,3
686,2
687,0
688,4
689,1
690,0
691,1
692,2
693,2
694,2
695,2
696,0
697,2
698,0
699,0
700,2
701,1
702,0
703,0
704,2
705,0
706,2
707,2
708,2
709,1
710,2
711,1
712,2
713,0
714,3
715,2
716,1
717,0
718,2
719,0
720,0
721,1
722,4
723,4
724,0
725,1
726,1
727,0
728,4
729,1
730,2
731,0
732,0
733,2
734,0
735,3
736,4
737,4
738,0
739,0
740,0
741,0
742,0
743,2
744,1
745,0
746,0
747,0
748,2
749,3
750,0
751,1
752,1
