id,imdb_score_binned
1,0
2,0
3,1
4,3
5,0
6,0
7,4
8,4
9,2
10,2
11,3
12,0
13,2
14,0
15,2
16,3
17,0
18,0
19,1
20,0
21,2
22,0
23,3
24,4
25,0
26,1
27,3
28,1
29,1
30,0
31,4
32,2
33,0
34,1
35,0
36,3
37,0
38,2
39,0
40,1
41,4
42,0
43,0
44,2
45,1
46,3
47,1
48,1
49,0
50,1
51,4
52,0
53,3
54,0
55,0
56,4
57,1
58,2
59,0
60,1
61,4
62,0
63,0
64,2
65,3
66,0
67,0
68,3
69,2
70,0
71,3
72,2
73,4
74,2
75,2
76,4
77,2
78,0
79,2
80,2
81,0
82,1
83,0
84,0
85,0
86,3
87,1
88,1
89,0
90,0
91,3
92,2
93,0
94,0
95,0
96,0
97,3
98,2
99,2
100,2
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,3
111,0
112,2
113,3
114,0
115,0
116,0
117,1
118,2
119,0
120,0
121,2
122,3
123,0
124,0
125,4
126,4
127,2
128,0
129,0
130,3
131,4
132,4
133,0
134,2
135,0
136,1
137,0
138,0
139,0
140,4
141,1
142,3
143,0
144,3
145,1
146,2
147,0
148,4
149,3
150,4
151,0
152,0
153,0
154,0
155,1
156,2
157,1
158,1
159,3
160,0
161,1
162,1
163,4
164,0
165,2
166,0
167,1
168,3
169,0
170,0
171,1
172,0
173,2
174,1
175,0
176,2
177,1
178,0
179,1
180,1
181,0
182,1
183,2
184,3
185,4
186,2
187,1
188,0
189,2
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,0
200,0
201,1
202,0
203,1
204,1
205,1
206,2
207,1
208,2
209,2
210,0
211,3
212,3
213,4
214,3
215,2
216,1
217,4
218,0
219,1
220,0
221,0
222,1
223,1
224,2
225,2
226,0
227,0
228,0
229,3
230,0
231,0
232,2
233,4
234,0
235,0
236,1
237,4
238,1
239,0
240,4
241,0
242,1
243,4
244,2
245,3
246,0
247,1
248,0
249,3
250,4
251,0
252,2
253,3
254,0
255,1
256,2
257,3
258,0
259,4
260,3
261,2
262,4
263,0
264,2
265,0
266,3
267,4
268,2
269,3
270,0
271,1
272,0
273,2
274,0
275,1
276,3
277,4
278,0
