id,imdb_score_binned
1,2
2,3
3,1
4,3
5,2
6,2
7,4
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,1
19,3
20,2
21,2
22,3
23,2
24,2
25,1
26,2
27,2
28,2
29,2
30,2
31,3
32,2
33,2
34,1
35,3
36,3
37,2
38,3
39,2
40,2
41,4
42,1
43,3
44,2
45,3
46,3
47,2
48,2
49,2
50,2
51,3
52,2
53,2
54,2
55,1
56,3
57,3
58,2
59,2
60,3
61,2
62,2
63,0
64,3
65,2
66,2
67,2
68,2
69,2
70,2
71,1
72,2
73,3
74,2
75,3
76,4
77,3
78,2
79,2
80,2
81,2
82,2
83,2
84,1
85,2
86,2
87,2
88,2
89,3
90,2
91,3
92,2
93,2
94,2
95,2
96,2
97,3
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,3
106,2
107,2
108,1
109,2
110,3
111,2
112,2
113,3
114,2
115,1
116,1
117,2
118,3
119,2
120,2
121,2
122,3
123,2
124,3
125,3
126,3
127,3
128,2
129,1
130,3
131,2
132,3
133,2
134,2
135,2
136,2
137,2
138,3
139,0
140,4
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,3
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,1
161,2
162,2
163,4
164,3
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,3
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,3
184,2
185,3
186,2
187,3
188,2
189,2
190,2
191,1
192,2
193,3
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,1
204,3
205,2
206,3
207,2
208,2
209,2
210,2
211,2
212,2
213,3
214,2
215,3
216,2
217,3
218,2
219,2
220,2
221,2
222,1
223,2
224,3
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,3
238,2
239,2
240,3
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,3
249,2
250,3
251,2
252,3
253,4
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,3
262,2
263,2
264,2
265,1
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,3
277,3
278,2
279,2
280,1
281,3
282,2
283,2
284,1
285,2
286,2
287,3
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,3
296,1
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,3
305,3
306,2
307,2
308,2
309,3
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,3
320,2
321,2
322,2
323,1
324,2
325,3
326,2
327,2
328,2
329,2
330,2
331,3
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,3
340,2
341,2
342,3
343,3
344,2
345,2
346,2
347,3
348,2
349,2
350,2
351,2
352,1
353,3
354,2
355,2
356,2
357,2
358,2
359,1
360,2
361,2
362,3
363,3
364,3
365,2
366,1
367,2
368,3
369,2
370,2
371,3
372,2
373,2
374,3
375,2
376,3
377,2
378,3
379,2
380,2
381,2
382,2
383,2
384,2
385,1
386,2
387,2
388,1
389,3
390,2
391,2
392,3
393,3
394,2
395,2
396,2
397,1
398,2
399,2
400,1
401,2
402,2
403,3
404,2
405,2
406,2
407,2
408,3
409,2
410,3
411,3
412,2
413,3
414,3
415,2
416,3
417,2
418,3
419,2
420,2
421,2
422,2
423,2
424,3
425,2
426,1
427,3
428,2
429,2
430,3
431,2
432,2
433,2
434,1
435,2
436,2
437,2
438,2
439,2
440,2
441,3
442,3
443,2
444,2
445,2
446,3
447,2
448,1
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,1
459,2
460,2
461,2
462,2
463,2
464,1
465,2
466,2
467,2
468,2
469,2
470,2
471,3
472,2
473,2
474,2
475,2
476,3
477,2
478,2
479,2
480,1
481,2
482,4
483,2
484,1
485,3
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,1
494,3
495,2
496,2
497,2
498,3
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,3
513,2
514,1
515,2
516,2
517,3
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,3
532,3
533,3
534,2
535,2
536,2
537,3
538,2
539,2
540,2
541,2
542,2
543,2
544,2
545,2
546,3
547,2
548,4
549,2
550,2
551,2
552,2
553,3
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,3
568,2
569,2
570,3
571,3
572,2
573,2
574,2
575,1
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,1
587,2
588,2
589,2
590,4
591,3
592,3
593,3
594,2
595,2
596,2
597,2
598,3
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,3
609,2
610,2
611,3
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,3
621,2
622,2
623,3
624,2
625,3
626,3
627,2
628,2
629,1
630,2
631,2
632,1
633,3
634,2
635,2
636,3
637,3
638,2
639,2
640,3
641,2
642,2
643,2
644,2
645,3
646,3
647,3
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,3
668,2
669,4
670,2
671,2
672,2
673,2
674,3
675,2
676,2
677,3
678,2
679,2
680,2
681,4
682,2
683,2
684,2
685,3
686,2
687,2
688,2
689,2
690,2
691,2
692,2
693,2
694,2
695,2
696,2
697,2
698,2
699,2
700,2
701,2
702,2
703,2
704,2
705,2
706,2
707,2
708,2
709,2
710,2
711,3
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,2
720,3
721,2
722,3
723,2
724,2
725,2
726,2
727,2
728,2
729,2
730,2
731,3
732,2
733,2
734,2
735,3
736,3
737,3
738,1
739,2
740,2
741,2
742,2
743,2
744,2
745,2
746,2
747,2
748,3
749,2
750,3
751,3
752,1
